,title,url,classification
0,证券维权律师说法：股民如何向新纶科技索赔,https://finance.sina.com.cn/stock/2020-06-18/doc-iirczymk7672304.shtml,2
1,业内人士：王振华宁愿花几百万请大律师 也不给受害人赔偿,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9141176.shtml,2
2,华安证券突然暴跌：一再融资要钱 刚发转债又配股40亿,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9139652.shtml,2
3,旋极信息因会计差错调整5个季度业绩 收深交所监管函,https://finance.sina.com.cn/roll/2020-06-18/doc-iircuyvi9132108.shtml,2
4,新潮能源违规提供担保 投资者或可索赔,https://finance.sina.com.cn/stock/2020-06-18/doc-iircuyvi9120260.shtml,2
5,中金上调吉利汽车目标价至16.6港元,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9115209.shtml,1
6,京东今日正式在港上市：募资300亿创年内之最 刘强东身家水涨船高,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7642942.shtml,2
7,香溢融通虚假陈述被处罚 投资者索赔可启动,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7622629.shtml,2
8,拟圈钱18.5亿还债 聚焦锂产业后威华股份跌停,https://finance.sina.com.cn/roll/2020-06-18/doc-iirczymk7622526.shtml,2
9,退市边缘*ST金洲现怪事：子公司被黑客攻陷 错记利润,https://finance.sina.com.cn/roll/2020-06-18/doc-iirczymk7623745.shtml,2
10,字节跳动：没有收购蓝色光标的计划,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7617809.shtml,1
11,港股年内最大IPO来了:京东募资近300亿港元 暗盘大涨6%,https://finance.sina.com.cn/stock/relnews/us/2020-06-18/doc-iirczymk7612615.shtml,0
12,比亚迪半导体20天融资27亿 30家机构热捧,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9079342.shtml,1
13,募资近300亿港元 6年后转战港股的京东凭什么成为吸金王,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9081523.shtml,0
14,北京科锐拟6.7亿转让实控权 引重庆国资入主,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9078816.shtml,0
15,东方精工聚焦高端智能装备 拟10亿回购股份,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7607437.shtml,0
16,东方日升太阳能电池业务营收增66% 拟发33亿可转债,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9077304.shtml,1
17,纽威股份多项产品实现进口替代 拟募资7亿扩产,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7605846.shtml,1
18,舍得酒业定增获批:控股股东认购额不低于7.5亿 将建200家专卖店,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9077051.shtml,1
19,中国石化最大炼化一体化项目投产 年产值预超600亿,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7604890.shtml,1
20,字节跳动洽谈收购蓝色光标 后者股价创四年半以来新高,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iircuyvi9077494.shtml,1
21,中国建筑前五月新签合同额突破万亿,https://finance.sina.com.cn/stock/s/2020-06-18/doc-iirczymk7604077.shtml,1
